switchName:	sp-main-san01
switchType:	120.0
switchState:	Online
switchMode:	Native
switchRole:	Principal
switchDomain:	1
switchId:	fffc01
switchWwn:	10:00:c4:f5:7c:c3:a2:53
zoning:		ON (sp_main_san_cfg_01)
switchBeacon:	OFF
FC Router:	OFF
HIF Mode:	OFF

Index Slot Port Address Media  Speed        State    Proto
============================================================
 431    8   15   ------   --    16G	  No_Module   FC
 432    8   16   ------   --    16G	  No_Module   FC
 433    8   17   ------   --    16G	  No_Module   FC
 434    8   18   ------   --    16G	  No_Module   FC
 435    8   19   ------   --    16G	  No_Module   FC
 436    8   20   ------   --    16G	  No_Module   FC
 437    8   21   ------   --    16G	  No_Module   FC
 438    8   22   ------   --    16G	  No_Module   FC
 439    8   23   ------   --    16G	  No_Module   FC
 440    8   24   ------   --    16G	  No_Module   FC
 441    8   25   ------   --    16G	  No_Module   FC
 442    8   26   ------   --    16G	  No_Module   FC
 443    8   27   ------   --    16G	  No_Module   FC
 444    8   28   ------   --    16G	  No_Module   FC
 445    8   29   ------   --    16G	  No_Module   FC
 446    8   30   ------   --    16G	  No_Module   FC
 447    8   31   ------   --    16G	  No_Module   FC
1184    8   32   ------   --    16G	  No_Module   FC
1185    8   33   ------   --    16G	  No_Module   FC
1186    8   34   ------   --    16G	  No_Module   FC
1187    8   35   ------   --    16G	  No_Module   FC
1188    8   36   ------   --    16G	  No_Module   FC
1189    8   37   ------   --    16G	  No_Module   FC
1190    8   38   ------   --    16G	  No_Module   FC
1191    8   39   ------   --    16G	  No_Module   FC
1192    8   40   ------   --    16G	  No_Module   FC
1193    8   41   ------   --    16G	  No_Module   FC
1194    8   42   ------   --    16G	  No_Module   FC
1195    8   43   ------   --    16G	  No_Module   FC
1196    8   44   ------   --    16G	  No_Module   FC
1197    8   45   ------   --    16G	  No_Module   FC
1198    8   46   ------   --    16G	  No_Module   FC
1199    8   47   ------   --    16G	  No_Module   FC
1200    8   48   ------   --    16G	  No_Module   FC
1201    8   49   ------   --    16G	  No_Module   FC
1202    8   50   ------   --    16G	  No_Module   FC
1203    8   51   ------   --    16G	  No_Module   FC
1204    8   52   ------   --    16G	  No_Module   FC
1205    8   53   ------   --    16G	  No_Module   FC
1206    8   54   ------   --    16G	  No_Module   FC
1207    8   55   ------   --    16G	  No_Module   FC
1208    8   56   ------   --    16G	  No_Module   FC
1209    8   57   ------   --    16G	  No_Module   FC
1210    8   58   ------   --    16G	  No_Module   FC
1211    8   59   ------   --    16G	  No_Module   FC
1212    8   60   ------   --    16G	  No_Module   FC
1213    8   61   ------   --    16G	  No_Module   FC
1214    8   62   ------   --    16G	  No_Module   FC
1215    8   63   ------   --    16G	  No_Module   FC
  80   10    0   015000   id    N16	  No_Light    FC
  81   10    1   015100   id    N16	  No_Light    FC
  82   10    2   015200   id    N8 	  Online      FC  F-Port  50:01:43:80:33:17:34:c0
  83   10    3   015300   id    N8 	  Online      FC  F-Port  51:40:2e:c0:01:7c:56:18
  84   10    4   015400   id    N8 	  Online      FC  F-Port  51:40:2e:c0:01:bf:e2:64
  85   10    5   015500   id    N16	  Online      FC  F-Port  51:40:2e:c0:11:0e:9f:d0
  86   10    6   015600   id    N16	  Online      FC  F-Port  51:40:2e:c0:00:f3:8b:60
  87   10    7   015700   id    N16	  Online      FC  F-Port  51:40:2e:c0:11:0e:9f:d4
  88   10    8   015800   id    N16	  Online      FC  F-Port  51:40:2e:c0:12:3f:0c:7c
  89   10    9   015900   id    N16	  No_Light    FC
  90   10   10   015a00   id    N8 	  Online      FC  F-Port  51:40:2e:c0:00:55:8f:f0
  91   10   11   015b00   id    N8 	  Online      FC  F-Port  51:40:2e:c0:00:55:bc:b4
  92   10   12   015c00   id    N8 	  Online      FC  F-Port  51:40:2e:c0:00:55:bc:58
  93   10   13   015d00   id    N8 	  Online      FC  F-Port  51:40:2e:c0:00:55:c4:a4
  94   10   14   015e00   id    N8 	  Online      FC  F-Port  51:40:2e:c0:00:55:c5:a8
  95   10   15   015f00   id    N8 	  Online      FC  F-Port  51:40:2e:c0:00:55:8d:1c
 208   10   16   01d000   id    N8 	  Online      FC  F-Port  50:01:43:80:28:d1:0d:44
 209   10   17   01d100   id    N8 	  Online      FC  F-Port  51:40:2e:c0:00:55:bd:5c
 210   10   18   01d200   id    N8 	  Online      FC  F-Port  51:40:2e:c0:00:55:bb:44
 211   10   19   01d300   id    N8 	  Online      FC  F-Port  51:40:2e:c0:00:55:8d:a8
 212   10   20   01d400   id    N8 	  Online      FC  F-Port  51:40:2e:c0:00:55:c5:54
 213   10   21   01d500   id    N16	  Online      FC  F-Port  21:00:f4:e9:d4:57:99:d0
 214   10   22   01d600   id    N16	  Online      FC  F-Port  51:40:2e:c0:14:82:7d:2c
 215   10   23   01d700   id    N16	  Online      FC  F-Port  51:40:2e:c0:14:82:7c:8c
 216   10   24   01d800   id    N16	  Online      FC  F-Port  51:40:2e:c0:14:82:7d:34
 217   10   25   01d900   id    N16	  No_Light    FC
 218   10   26   01da00   id    N16	  Online      FC  F-Port  51:40:2e:c0:14:82:57:90
 219   10   27   01db00   id    N16	  Online      FC  F-Port  51:40:2e:c0:14:82:54:d4
 220   10   28   01dc00   id    N16	  Online      FC  F-Port  51:40:2e:c0:14:82:57:54
 221   10   29   01dd00   id    N16	  Online      FC  F-Port  51:40:2e:c0:14:82:54:dc
 222   10   30   01de00   id    N16	  Online      FC  F-Port  50:00:09:75:68:02:28:84
 223   10   31   01df00   id    N16	  Online      FC  F-Port  50:00:09:75:68:02:28:85
 336   10   32   01d880   id    N16	  Online      FC  F-Port  50:00:09:75:68:02:28:86
 337   10   33   01d980   id    N16	  Online      FC  F-Port  50:00:09:75:68:02:28:87
 338   10   34   01da80   id    N16	  Online      FC  F-Port  50:00:09:75:68:02:28:88
 339   10   35   01db80   id    N16	  Online      FC  F-Port  50:00:09:75:68:02:28:89
 340   10   36   01dc80   id    N16	  No_Light    FC
 341   10   37   01dd80   id    N16	  Online      FC  F-Port  50:06:0e:80:12:39:e0:20
 342   10   38   01de80   id    N16	  Online      FC  F-Port  50:00:09:75:68:02:28:98
 343   10   39   01df80   id    N16	  Online      FC  F-Port  50:00:09:75:68:02:28:99
 344   10   40   01d080   id    N16	  Online      FC  F-Port  50:00:09:75:68:02:28:9a
 345   10   41   01d180   id    N16	  Online      FC  F-Port  50:00:09:75:98:05:88:04
 346   10   42   01d280   id    N16	  Online      FC  F-Port  50:00:09:75:98:05:88:05
 347   10   43   01d380   id    N16	  Online      FC  F-Port  50:00:09:75:98:05:88:06
 348   10   44   01d480   id    N16	  Online      FC  F-Port  50:00:09:75:98:05:88:07
 349   10   45   01d580   id    N16	  No_Light    FC
 350   10   46   01d680   id    N16	  No_Light    FC
 351   10   47   01d780   id    N16	  No_Light    FC
 112   12    0   017000   id    N16	  No_Light    FC
 113   12    1   017100   id    N16	  No_Light    FC
 114   12    2   017200   id    N8 	  Online      FC  F-Port  51:40:2e:c0:01:bf:d9:18
